Язык	ISO 639-1	ISO 639-2	ISO 639-3	ГОСТ 7.75–97	Цифровой код
Абазинский	—	—	abq	аба	005
Абхазский	ab	abk	abk	абх	010
Авадхи	—	awa	awa	авд	012
Аварский	av	ava	ava	ава	014
Авестийский	ae	ave	ave	аве	016
Адангме	—	ada	ada	ада	018
Адыгейский	—	ady	ady	ады	020
Азербайджанский	az	aze	aze	азе	025
Аймара	ay	aym	aym	айм	026
Айну	—	ain	ain	—	—
Акан	ak	aka	aka	ака	027
Аккадский	—	akk	akk	акк	028
Албанский	sq	alb/sqi	sqi	алб	030
Алеутский	—	ale	ale	але	033
Алтайский	—	alt	alt	алт	035
Амхарский	am	amh	amh	амх	040
Английский	en	eng	eng	анг	045
Арабский	ar	ara	ara	ара	050
Аравакский	—	arw	arw	арв	051
Арамейский	—	arc	arc	аре	052
Арапахо	—	arp	arp	арп	053
Арауканский	—	arn	arn	арн	054
Армянский	hy	arm/hye	hye/axm/xcl	арм	055
Ассамский	as	asm	asm	аса	060
Ассирийский	—	—	aii	асе	065
Атапачские	—	—	ath	ата	067
Афарский	aa	aar	aar	афа	068
Африкаанс	af	afr	afr	афр	070
Африхили	—	afh	afh	афх	073
Ахвахский	—	akv	akv	ахв	074
Ацтекский	—	—	nah	ацт	075
Ачехский	—	ace	ace	аче	076
Ачоли	—	ach	ach	ачо	077
Балийский	—	ban	ban	бал	078
Бамбара	bm	bam	bam	бам	080
Банда	—	bad	bad	бан	082
Баса	—	bas	bas	бас	084
Баскский	eu	baq/eus	eus	бак	085
Башкирский	ba	bak	bak	баш	086
Беджа	—	bej	bej	бед	087
Белорусский	be	bel	bel	бел	090
Белуджский	—	bal	bal	беу	095
Бемба	—	bem	bem	бем	097
Бенгальский	bn	ben	ben	бен	100
Бикольский	—	bik/ bcl	bik	бик	103
Бини	—	bin	bin	бин	104
Бирманский	my	bur/mya	mya	бир	105
Бислама	bi	bis	bis	бис	107
Болгарский	bg	bul	bul	бол	115
Боснийский	bs	bos	bos	боc	—
Брауи	—	—	brh	бра	117
Бретонский	br	bre	bre	бре	120
Бугийский	—	bug	bug	буг	123
Бурятский	—	bua	bua	бур	125
Бходжпури	—	bho	bho	бхо	126
Ваи	—	vai	vai	ваи	127
Валлийский	cy	cym/wel	cym	вал	130
Варай	—	war	war	вар	131
Вашо	—	was	was	ваш	132
Венгерский	hu	hun	hun	вен	133
Венда	ve	ven	ven	вед	134
Вепсский	—	—	vep	веп	135
Воламо	—	wal	wal	воа	136
Волапюк	vo	vol	vol	вол	137
Волоф	wo	wol	wol	воф	138
Вьетнамский	vi	vie	vie	вье	140
